"2-2 各地区社会消费品零售总额
",,,,,
"Total Retail Sales of Consumer Goods by Region
",,,,,
"单位:亿元
",,,,,
"Unit:100 million yuan
",,,,,
地 区,Region,2019,,2020,
,,"社会消费品零售总额
(亿元)
Total Retail Sales
of Consumer Goods","比上年增长
(%)
Increase Over
the Previous Year","社会消费品零售总额
(亿元)
Total Retail Sales
of Consumer Goods","比上年增长
(%)
Increase Over
the Previous Year"
北 京,Beijing,15063.7,4.4,13716.4,-8.9
天 津,Tianjin,4218.2,-0.3,3582.9,-15.1
河 北,Hebei,12985.5,8.4,12705.0,-2.2
山 西,Shanxi,7030.5,7.8,6746.3,-4.0
内蒙古,Inner Mongolia,5051.1,4.1,4760.5,-5.8
辽 宁,Liaoning,9670.6,6.1,8960.9,-7.3
吉 林,Jilin,4212.9,3.4,3824.0,-9.2
黑龙江,Heilongjiang,5603.9,6.2,5092.3,-9.1
上 海,Shanghai,15847.6,6.5,15932.5,0.5
江 苏,Jiangsu,37672.5,6.2,37086.1,-1.6
浙 江,Zhejiang,27343.8,8.7,26629.8,-2.6
安 徽,Anhui,17862.1,10.6,18334.0,2.6
福 建,Fujian,18896.8,10.0,18626.5,-1.4
江 西,Jiangxi,10068.1,11.3,10371.8,3.0
山 东,Shandong,29251.2,6.4,29248.0,0.0
河 南,Henan,23476.1,10.4,22502.8,-4.1
湖 北,Hubei,22722.3,10.3,17984.9,-20.8
湖 南,Hunan,16683.9,10.2,16258.1,-2.6
广 东,Guangdong,42951.8,8.0,40207.9,-6.4
广 西,Guangxi,8200.9,7.0,7831.0,-4.5
海 南,Hainan,1951.1,5.3,1974.6,1.2
重 庆,Chongqing,11631.7,8.7,11787.2,1.3
四 川,Sichuan,21343.0,10.4,20824.9,-2.4
贵 州,Guizhou,7468.2,5.1,7833.4,4.9
云南,Yunnan,10158.2,10.4,9792.9,-3.6
西 藏,Tibet,773.4,8.7,745.8,-3.6
陕 西,Shaanxi,10213.0,7.4,9605.9,-5.9
甘 肃,Gansu,3700.3,7.7,3632.4,-1.8
青 海,Qinghai,948.5,5.4,877.3,-7.5
宁 夏,Ningxia,1399.4,5.2,1301.4,-7.0
新 疆,Xinjiang,3617.0,5.5,3062.5,-15.3
